text lama,text baru
riah,meriah
milu,pemilu
ganjarmahfud,ganjar mahfud
denger,dengar
agamaanies,agama anies
pranowofmahfud,pranowo mahfud
kunjung,kunjungan
riah,riuh
emng,memang
hnya,hanya
didik,pendidikan
arti,berarti
milu,militer
ganjarmahfud,Ganjar-Mahfud
nyari,mencari
biru,berkelanjutan
dekade08,Dekade 2008
cukup,mencukupi
basmi,memberantas
donload,download
harap,berharap
tiadahenti,tiada henti
anut,menganut
pny rumah benar,punya rumah benar
paslonpaslon,pasangan calon pasangan calon
bersamasama,bersama sama
buktinyata,bukti nyata
alhamdulillahbaru,alhamdulillah baru
ngk,enggak
seruseruan,seru seruan
sbgai,sebagai
pulpres,pilpres
mainmain,main main
kecintaanya,kecintaannya
jakar,jakarta
bgini,begini
mnjdi,menjadi
mndorong,mendorong
internetselalu,internet selalu
gagas,gagasan
idegagasan,ide gagasan
kpd,kepada
berbuatbaik,berbuat baik
untukmasyarakat,untuk masyarakat
anakanak,anak anak
dibawa2,dibawa bawa
investorfriendly,investor friendly
meledakledak,meledak-ledak
kitaselaluada,kita selalu ada
untukpragibs,untuk pragibs
bisa2nya,bisa bisanya
lanjutgansemuakerja,lanjut gan semua kerja
anak2,anak anak
kitatetap,kita tetap
lapang,lapangan
bapakbapak,bapak bapak
tuju,setuju
jamin,jaminan
bpjstk,BPJS Ketenagakerjaan
nteweet,tweet
jwbn,jawaban
bener2,bener bener
pendukung2,pendukung-pendukung
masing2,masing-masing
impi ,mimpi
vidiio,video
bwh,bawah
buktii,bukti
sejaks lama,sejak lama
masayarakat,masyarakat
cary ,cari
banguun,bangun
biajk,bijak
sesuaai,sesuai
utanng,utang
timbuhl,timbul
rakyatt,rakyat
jaddi,jadi
speachless,speechless
merindding,merinding
fenomenna,fenomena
karrung,karung
kerenn,keren
demookrat,demokrat
kuasaaa,kuasa
esokk,esok
dwii,dwi
bebbek,bebek
jdi,jadi
sampi,sampai
salh,salah
bngt,banget
sma,sama
sehari2,sehari-hari
lapng,lapang
skali,sekali
putarr,putar
sanna,sana
liciik,licik
jaaht,jahat
tanatang,tantang
puupk,pupuk
pduli,peduli
drrita,derita
kropusi,korupsi
pasng,pasang
prgrm,program
tumbh,tumbuh
terusmenerus,terus menerus
critick,kritik
niila,nilai
paratai,partai
deklarsi,deklarasi
smangat,semangat
jgaa,juga
rkyat,rakyat
macamyang,macam yang
terkendalimomen,terkendali momen
temanteman,teman-teman
klen,kalian
titipkankerukunan,titipkan kerukunan
utk,untuk
bhw,bahwa
erah,era
tuanrakyat,tuan rakyat
untukindonesia,untuk indonesia
banyak2,banyak-banyak
jgn,jangan
minat2,minat-minat
jelas2,jelas-jelas
apa2,apa-apa
jangan2,jangan-jangan
ngmg,ngomong
debat2,debat-debat
ngak,tidak
org2,orang-orang
terang2an,terang-terangan
olej,oleh
akn,akan
jenderal2,jenderal-jenderal
gub,gubernur
spt,seperti
bar3ng,bareng
m3mberi,memberi
mdmahfudrebound,md mahfud rebound
tani,petani
koprasi,koperasi
byk,banyak
mrka,mereka
krja,kerja
byr,bayar
bnern,beneran
bykan,banyakan
jkrta,jakarta
mlh,malah
janjijanji,janji janji
amp3,ampe
ramerame,rame-rame
benerbener,bener bener
orng2,orang-orang
cara2,cara-cara
dukungnnyaberalaih,dukungannya beralih
palingsejuk,paling sejuk
milihtulusnya,milih tulusnya
indahanies,indah anies
aniesimin,anies-imin
rkyt,rakyat
amp ,ampe
trbaik,terbaik
mkin,makin
akun2,akun-akun
hatihati,hati-hati
rang,orang 
k3sejaht3raan,kesejahteraan
dikarang2,dikarang-karang
dicabutdibatalkan,dicabut dibatalkan
bukabukaan,buka bukaann
pr3siden,presiden
layan,layanan
